time,temperature,humidity
2019-10-15 01:21:54,86,45.0
2019-10-15 01:22:00,84,45.0
2019-10-15 01:22:03,84,46.0
2019-10-15 01:22:06,84,46.0
2019-10-15 01:22:09,84,46.0
2019-10-15 01:22:12,84,46.0
2019-10-15 01:22:18,84,47.0
2019-10-15 01:22:23,84,47.0
2019-10-15 01:22:26,84,47.0
2019-10-15 01:22:30,84,48.0
2019-10-15 01:22:33,84,48.0
2019-10-15 01:22:36,84,48.0
2019-10-15 01:22:39,84,48.0
2019-10-15 01:22:45,82,48.0
2019-10-15 01:22:50,82,49.0
2019-10-15 01:22:53,82,56.0
2019-10-15 01:22:57,82,57.0
2019-10-15 01:23:00,84,55.0
2019-10-15 01:23:03,84,53.0
2019-10-15 01:23:06,84,51.0
2019-10-15 01:23:09,84,50.0
2019-10-15 11:52:12,75,65.0
2019-10-15 11:52:15,75,65.0
2019-10-15 11:52:20,75,64.0
2019-10-15 11:52:24,75,64.0
2019-10-15 11:52:27,75,0.0
2019-10-15 11:52:30,75,64.0
2019-10-15 11:52:33,75,64.0
2019-10-15 11:52:47,75,64.0
2019-10-15 11:52:52,77,64.0
2019-10-15 11:52:55,77,64.0
2019-10-15 11:52:59,77,64.0
2019-10-15 11:53:02,77,63.0
2019-10-15 11:53:05,77,64.0
2019-10-15 11:53:08,77,78.0
2019-10-15 11:53:11,77,88.0
2019-10-15 11:53:14,77,94.0
2019-10-15 11:53:25,77,82.0
2019-10-15 11:53:29,77,77.0
2019-10-15 11:53:32,77,73.0
2019-10-15 11:53:35,77,70.0
2019-10-28 20:03:04,75,44.0
2019-10-28 20:03:07,75,41.0
2019-10-28 20:03:11,75,41.0
2019-10-28 20:03:14,75,41.0
2019-10-28 20:03:17,75,41.0
2019-10-28 20:03:23,75,41.0
2019-10-28 20:03:26,75,41.0
2019-10-28 20:03:29,75,41.0
2019-10-28 20:03:32,75,41.0
2019-10-28 20:03:35,75,41.0
2019-10-28 20:03:38,75,41.0
2019-10-28 20:03:42,54,148.0
2019-10-28 20:03:47,75,41.0
2019-10-28 20:03:51,75,41.0
2019-10-28 20:03:54,75,41.0
2019-10-28 20:03:57,75,41.0
2019-10-28 20:04:00,75,41.0
2019-10-28 20:04:03,75,41.0
2019-10-28 20:04:06,75,41.0
2019-10-28 20:04:10,75,41.0
2019-10-28 20:04:13,75,41.0
2019-10-28 20:04:19,75,41.0
2019-10-28 20:04:22,75,41.0
2019-10-28 20:04:25,75,41.0
2019-10-28 20:04:28,75,41.0
2019-10-28 20:04:31,75,41.0
2019-10-28 20:04:35,75,41.0
2019-10-28 20:04:38,75,41.0
2019-10-28 20:04:41,75,41.0
2019-10-28 20:06:04,75,41.0
2019-10-28 20:06:07,75,41.0
2019-10-28 20:06:10,54,148.0
2019-10-28 20:06:14,75,41.0
2019-10-28 20:06:17,75,41.0
2019-10-28 20:06:20,75,41.0
2019-10-28 20:06:23,75,41.0
2019-10-28 20:06:29,75,40.0
2019-10-28 20:06:32,75,41.0
2019-10-28 20:06:35,75,40.0
2019-10-28 20:06:38,75,40.0
2019-10-28 20:06:41,75,41.0
2019-10-28 22:45:48,77,36.0
2019-10-28 22:45:51,77,36.0
2019-10-28 22:45:55,77,36.0
2019-10-28 22:45:58,77,36.0
2019-10-28 22:46:01,77,36.0
2019-10-28 22:46:04,77,36.0
2019-10-28 22:46:07,77,36.0
2019-10-28 22:46:13,77,36.0
2019-10-28 22:46:16,77,36.0
2019-10-28 22:46:19,77,36.0
2019-10-28 22:46:23,77,36.0
2019-10-28 22:46:26,77,36.0
2019-10-28 22:46:29,77,36.0
2019-10-28 22:46:32,77,36.0
2019-10-28 22:46:35,77,36.0
2019-10-28 22:46:38,54,146.0
2019-10-28 22:46:42,77,36.0
2019-10-28 22:46:45,77,36.0
2019-10-28 22:46:48,77,36.0
2019-10-28 22:46:51,77,36.0
2019-10-28 22:46:54,77,36.0
2019-10-28 22:46:57,77,36.0
2019-10-28 22:47:01,77,36.0
2019-10-28 22:47:04,77,36.0
2019-10-28 22:47:10,77,36.0
2019-10-28 22:47:13,77,36.0
2019-10-28 22:47:16,77,36.0
2019-10-28 22:47:19,77,36.0
